sampledate,site,Depth,Temp_C,pH,DO_mgL,DO_perc,Conductivity,dic
2022-08-04,1,2.5,25.3,8.79,8.81,107.7,722,NA
2022-08-04,1,2.75,25.2,8.78,8.74,106.3,722,NA
2022-08-04,1,3,25.1,8.78,8.68,105.4,722,NA
2022-08-04,1,3.25,25,8.54,7.9,95.6,737,NA
2022-08-12,1,0,25.4,8.81,9.28,113.3,684,NA
2022-08-12,1,0.5,25.4,8.82,9.34,114.1,685,NA
2022-08-12,1,0.75,25.4,8.83,9.38,114.6,685,NA
2022-08-12,1,1,25.4,8.84,9.38,114.7,685,NA
2022-08-12,1,1.25,25.4,8.84,9.4,114.8,685,NA
2022-08-12,1,1.5,25.4,8.84,9.4,114.9,685,NA
2022-08-12,1,1.75,25.4,8.83,9.4,114.9,685,NA
2022-08-12,1,2,25.4,8.83,9.39,114.9,685,NA
2022-08-12,1,2.25,25.4,8.82,9.38,114.6,685,NA
2022-08-12,1,2.5,25.4,8.8,9.16,111.9,686,NA
2022-08-12,1,2.75,25.4,8.78,9.05,110.5,686,NA
2022-08-12,1,3,25.4,8.52,8.27,101,689,NA
2022-08-12,1,3.25,25,7.44,3.75,45.7,727,NA
2022-08-16,1,0,23.6,8.73,8.91,105.3,715,NA
2022-08-16,1,0.5,23.6,8.73,8.92,105.4,715,NA
2022-08-16,1,0.75,23.6,8.73,8.94,105.5,715,NA
2022-08-16,1,1,23.5,8.73,8.95,105.6,714,NA
2022-08-16,1,1.25,23.5,8.73,8.95,105.5,715,NA
2022-08-16,1,1.5,23.4,8.72,8.94,105.3,714,NA
2022-08-16,1,1.75,23.4,8.72,8.93,105.1,714,NA
2022-08-16,1,2,23.4,8.72,8.91,104.9,714,NA
2022-08-16,1,2.25,23.4,8.71,8.78,103.2,714,NA
2022-08-16,1,2.5,23.3,8.71,8.71,102.4,714,NA
2022-08-16,1,2.75,23.3,8.7,8.65,101.6,714,NA
2022-08-16,1,3,23.2,8.64,8.12,95.1,715,NA
2022-08-16,1,3.25,22.9,7.9,4.63,53.6,742,NA
2022-08-18,1,0,24.2,8.84,10.62,126.3,714,NA
2022-08-18,1,0.5,24.2,8.84,10.66,127.3,713,NA
2022-08-18,1,0.75,24.2,8.83,10.69,127.7,713,NA
